INDEX;OPCODES;OPERNAMES;STORENAMES;ADDNAMES;CODESC1NAME
237;cscsun;;;;
238;cdarkpal;;;;
239;cscdark;;;;
240;caset;;;;
241;camov;;;;
242;cscaset;;;;
243;cscamov;;;;
244;cscfollow;;;;
245;cscview;;;;
246;cfilm;;;;
247;cwalkmap;;;;
248;catstmap;;;;
249;cavtstmov;;;;
250;cavmov;;;;
251;caim;;;;
252;cpointpix;;;;
253;cchartmap;;;;
254;cscsky;;;;
255;czoom;;;;
